,24,19,14,9,4
Condition S/R,All | All,"[0, 1, -1] | All","[0, -1] | All","[0, 1] | All",[0] | All
Seed,20230619,20230619,20230619,20230619,20230619
Initial Loss,34.256,278.534,284.367,315.122,301.027
Final Loss,0.006,15.793,4.489,23.878,158.567
Loss % Decrease,99.983,94.33,98.422,92.423,47.325
Initial g_Na GTE,16.58,16.914,16.914,16.914,16.747
Final g_Na GTE,0.318,10.315,9.844,9.748,15.898
g_Na GTE % Decrease,98.082,39.011,41.799,42.366,5.068
Initial g_K GTE,7.382,7.215,7.215,7.215,7.548
Final g_K GTE,0.207,5.599,4.342,4.272,8.934
g_K GTE % Decrease,97.196,22.396,39.825,40.795,-18.349
Total Epochs,200,77,200,200,182
